Zip_Code,County,,
17745,Clinton,,
17747,Clinton,,
17748,Clinton,,
17749,Northumberland,,
17750,Clinton,,
17751,Clinton,,
17752,Lycoming,,
17754,Lycoming,,
17756,Lycoming,,
17758,Sullivan,,
17760,Clinton,,
17762,Lycoming,,
17763,Lycoming,,
17764,Clinton,,
17765,Tioga,,
17767,Clinton,,
17768,Sullivan,,
17769,Lycoming,,
17771,Lycoming,,
17772,Northumberland,,
17773,Clinton,,
17774,Lycoming,,
17776,Lycoming,,
17777,Northumberland,,
17778,Clinton,,
17779,Clinton,,
17801,Northumberland,,
17810,Union,,
17812,Snyder,,
17813,Snyder,,
17814,Columbia,,
